ORGANIZATION_NAME,LOCATION_NAME,ADDRESS_1,ADDRESS_2,PHONE,EXT,CASE_MANAGEMENT,CRISIS_INTERVENTION,LEGAL_SERVICES,SAFETY_PLANNING,IMMIGRATION_SERVICES,EMERGENCY_OR_TRANSITIONAL_SHELTER,PERMANENT_HOUSING,HEALTH_CARE,MENTAL_HEALTH_COUNSELING,DRUG_ADDICTION_SCREENING_AND_TREATMENT,LANGUAGE_INTERPRETATION,PUBLIC_BENEFITS,JOB_TRAINING_AND_ECONOMIC_EMPOWERMENT,RESTORATIVE_JUSTICE,OTHER,INTIMATE_PARTNER_VIOLENCE,FAMILY_VIOLENCE,SEXUAL_ASSAULT,VIOLENT_CRIME,PROPERTY/FINANCIAL_CRIMES,AGE_0-5,AGE_5-24,AGE_25-60,AGE_60+,ELIGIBILITY_CRITERIA,MAIN_HOURS_OF_OPERATION,WEEKEND_HOURS_OF_OPERATION,SPANISH,ARABIC,BENGALI,CHINESE,FRENCH,HAITIAN-CREOLE,ITALIAN,KOREAN,POLISH,RUSSIAN,URDU,YIDDISH,OTHER,INTERPRETATION_SERVICE_OFFERED,REFERRAL_REQUIRED,CULTURAL_COMPETENCIES_SPECIALIZATIONS,,BOROUGH,WEBSITE,X,Y
Safe Horizon,Queens Criminal Court,"125-01 Queens Boulevard , Room G7 ","Kew Gardens, NY 11415",718-286-6083,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,,,,,Queens,https://www.safehorizon.org/,1032620,199035
Safe Horizon,Brooklyn Criminal Court,"120 Schermerhorn Street, 6th Floor","Brooklyn, NY 11201",718-834-7476,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,,,,,Brooklyn,https://www.safehorizon.org/,987315,190550
Safe Horizon,Bronx Criminal Court,"215 E 161 Street, 3rd Floor3-34","Bronx, NY 10451",718-590-2355,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1006308,240467
Safe Horizon,Staten Island Criminal Court,"26 Central Avenue , Lower Level, LL-11 ","Staten Island, NY 10304",718-727-7555,,1,,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,"Monday - Friday: 9 am - 1 pm, 2 pm - 5 pm",,1,,,,,,,,,,,,,,,,,Staten Island,https://www.safehorizon.org/,962826,172695
Safe Horizon,Queens Community Office,"63-49 Alderton Street, 2nd Floor","Rego Park, NY 11374",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Queens,https://www.safehorizon.org/,1021596,204027
Safe Horizon,Brooklyn Community Office,"50 Court Street, 9th Floor","Brooklyn, NY 11201",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Brooklyn,https://www.safehorizon.org/,986615,191555
Safe Horizon,Bronx Community Office (Bronxworks),1130 Grand Concourse ,"New York, NY 10035",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,Tuesday - Thursday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1006734,242630
Safe Horizon,Staten Island Community Office,"30 Bay Street, 5th Floor","Staten Island, NY 10301",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Staten Island,https://www.safehorizon.org/,963043,172942
Safe Horizon,Manhattan Community Office,"100 E 122nd Street, 1st Floor","New York, NY 10035",855-234-1042,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,1000816,231759
Safe Horizon,Safe Horizon Counseling Center,"50 Court Street, 9th Floor","Brooklyn, NY 11201",347-328-8110,,1,1,,1,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,Call to confirm eligibility,"Monday - Thursday: 9 am - 8 pmFriday: 9 am - 6 pm",Saturday: 9 am - 4 pm,1,,,,1,1,,,1,,,,,1,,,,Brooklyn,https://www.safehorizon.org/,986615,191555
Safe Horizon,Brooklyn Child Advocacy Center,"320 Schermerhorn Street, 1st Floor","Brooklyn, NY 11217",718-330-5400,,1,1,1,1,,,,1,,,,,,,,,1,1,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 8 am - 11 pm,Saturday-Sunday: 9 am - 8 pm  ,1,,,,,,,,,1,,1,,1,New York State Central Register of Child Abuse and Maltreatment,,,Brooklyn,https://www.safehorizon.org/,989325,189574
Safe Horizon,Queens Child Advocacy Center,"112-25 Queens Boulevard , 3rd Floor","Forest Hills, NY 11375",718-575-1342,,1,1,1,1,,,,1,,,,,,,,,1,1,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 9 am - 10 pm,Saturday-Sunday: 11 am - 7 pm,1,,,,,,,,,,,,Hebrew,1,New York State Central Register of Child Abuse and Maltreatment,,,Queens,https://www.safehorizon.org/,1029658,201063
Safe Horizon,Staten Island Child Advocacy Center,"130 Stuyvesant Place, 5th Floor ","Staten Island, NY 10301",718-556-4095,,1,1,1,1,,,,1,,,,,,,,,1,1,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 8 am - 8 pm,,1,,,,,,,,,,,,Hebrew,1,New York State Central Register of Child Abuse and Maltreatment,,,Staten Island,https://www.safehorizon.org/,962810,173464
Safe Horizon,Queens Family Justice Center,126-02 82nd Avenue  ,"Kew Gardens, NY 11415",718-575-4500,,1,1,1,1,1,,,,1,,,,,1,,1,,,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,"Hindi, Gujarati",1,,,,Queens,https://www.safehorizon.org/,1032620,199035
Safe Horizon,Brooklyn Family Justice Center,"350 Jay Street, 15th Floor","Brooklyn, NY 11201",718-250-5111,,1,1,1,1,1,,,,1,,,,,1,,1,,,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,"Hindi, Gujarati",1,,,,Brooklyn,https://www.safehorizon.org/,987580,192051
Safe Horizon,Bronx Family Justice Center,"198 E 161st Street, 2nd Floor","Bronx, NY 10451",718-508-1222,,1,1,1,1,1,,,,1,,,,,1,,1,,,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,,1,,,,Bronx,https://www.safehorizon.org/,1006087,240172
Safe Horizon,Domestic Violence Law Project ,"210 Joralemon Street, Suite 608 ","Brooklyn, NY 11201","718-834-7430 ",1101,,,1,,,,,,,,,,,,,1,1,,,,1,1,1,1,,Monday - Friday: 9:30 am - 5:30 pm,,1,,,,,,,,,,,,,1,,,,Brooklyn,https://www.safehorizon.org/,986876,191440
Safe Horizon,Immigration Law Project ,"50 Court Street, 8th Floor","Brooklyn, NY 11201",718-943-8632,,,,1,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,Call to confirm eligibility,Monday - Friday: 9:30 am - 5:30 pm,,1,,,,,,,,,,,,,1,,Survivors of intimate partner violence,,Brooklyn,https://www.safehorizon.org/,986615,191555
Safe Horizon,Manhattan Family Justice Center,"80 Centre Street, 5th Floor","New York, NY 10013",212-602-2800,,1,1,1,1,1,,,,1,,,,,1,,1,,,,,1,1,1,1,"Serves victims of intimate partner violence, elder abuse and/or sex trafficking",Monday - Friday: 9 am - 5 pm,,1,,,,,,,,,,,,,1,,,,Manhattan,https://www.safehorizon.org/,983921,199805
Safe Horizon,Anti-Trafficking,"50 Court Street, Suite 811","Brooklyn, NY 11201",718-943-8631,,1,1,1,1,1,,,,,,,,,,,1,,1,1,,1,1,1,1,,Monday - Friday: 9 am - 5 pm,,,,,,,,,,,,,,Tagalog languages,1,,,,Brooklyn,https://www.safehorizon.org/,986615,191555
Safe Horizon,Manhattan Child Advocacy Center,"1753 Park Avenue , 2nd Floor","New York, NY 10035",646-695-6100,,1,1,1,1,,,,,,,,,,,,,1,1,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 9 am - 9 pm,,1,,,,,,,,,,,,,1,New York State Central Register of Child Abuse and Maltreatment,,,Manhattan,https://www.safehorizon.org/,1000816,231759
Safe Horizon,Bronx Restitution,"215 E 161st Street, Room 3-34D","Bronx, NY 10451",718-590-2366,,,,,,,,,,,,,,,,Restitution assistance,,,,1,1,1,1,1,1,Serves individuals who have been awarded restitution in New York City by a judge,"Monday - Friday: 9:30 am - 1 pm, 2:15 pm - 4 pm",,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1006308,240467
Safe Horizon,Brooklyn Restitution,"120 Schermerhorn Street, 8th Floor, Room 800 ","Brooklyn, NY 11201",718-834-7450,,,,,,,,,,,,,,,,Restitution assistance,,,,1,1,1,1,1,1,Serves individuals who have been awarded restitution in New York City by a judge,"Monday - Friday: 9:30 am - 1 pm, 2:15 pm - 4 pm",,1,,,,,,,,,,,,,,,,,Brooklyn,https://www.safehorizon.org/,987315,190550
Safe Horizon,Manhattan Restitution,"100 Centre Street, 11th Floor- Rm 1102","New York, NY 10013",212-577-1268,,,,,,,,,,,,,,,,Restitution assistance,,,,1,1,1,1,1,1,Serves individuals who have been awarded restitution in New York City by a judge,"Monday - Friday: 9:30 am - 1 pm, 2:15 pm - 4:30 pm",,1,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,984033,200169
Safe Horizon,Queens Restitution,"120-55 Queens Boulevard , Room G6 ","Jamaica, NY 11424",718-286-6730,,,,,,,,,,,,,,,,Restitution assistance,,,,1,1,1,1,1,1,Serves individuals who have been awarded restitution in New York City by a judge,"Monday - Friday: 9:30 am - 1 pm, 2:15 pm - 4 pm",,1,,,,,,,,,,,,,,,,,Queens,https://www.safehorizon.org/,1031933,199455
Safe Horizon,Staten Island Restitution,"167 Targee Street, Rm B12","Staten Island, NY 10304",718-727-3808,,,,,,,,,,,,,,,,Restitution assistance,,,,1,1,1,1,1,1,Serves individuals who have been awarded restitution in New York City by a judge,"Monday - Friday: 9:30 am - 1 pm, 2:15 pm - 4 pm",,1,,,,,,,,,,,,,,,,,Staten Island,https://www.safehorizon.org/,,
Safe Horizon,Brooklyn Family Court Children's Center,330 Jay Street ,"Brooklyn, NY 11201",347-401-9632,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,"Monday - Friday: 9 am - 1 pm, 2 pm - 4:45 pm",,1,,,,,,,,,,,,,,,,,Brooklyn,https://www.safehorizon.org/,987662,192339
Safe Horizon,Staten Island Family Court Children's Center,51 Stuyvesant Place ,"Staten Island, NY 10301",800-621-4763,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,Monday - Friday: 9 am - 1 pm,,1,,,,,,,,,,,,,,,,,Staten Island,https://www.safehorizon.org/,962589,174205
Safe Horizon,Brooklyn Criminal Court Children's Center,"120 Schermerhorn Street, 8th floor","Brooklyn, NY 11201",718-222-1550,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,"Monday - Friday: 9 am - 1 pm, 2 pm - 4:45 pm",,1,,,,,,,,,,,,,,,,,Brooklyn,https://www.safehorizon.org/,987315,190550
Safe Horizon,Bronx Family Court Children's Center,"900 Sheridan Avenue, 7th Floor- Room 7-90 ","Bronx, NY 10451",718-618-2191,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,"Monday - Friday: 8:30 am - 1 pm, 2 pm - 4:45 pm",,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1006308,240467
Safe Horizon,Manhattan Family Court Children's Center,60 Lafayette Street ,"New York, NY 10013",646-386-5242,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,"Monday - Friday: 9 am - 1 pm, 2 pm - 4:45 pm",,1,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,983491,200373
Safe Horizon,Queens Family Court Children's Center,"151-20 Jamaica Avenue, 1st Floor","Jamaica, NY 11432",718-298-0129,,1,,,1,1,,,,,,,,,,,1,1,,,,1,1,,,,"Monday - Friday: 9 am - 1 pm, 2 pm - 4:45 pm",,1,,,,,,,,,,,,,,,,,Queens,https://www.safehorizon.org/,1038933,195163
Safe Horizon,Bronx Child Advocacy Center,"1775 Grand Concourse, 5th Floor","Bronx, NY 10453",929-265-3600,,1,1,1,1,,,,1,,,,,,,,,1,1,1,,1,1,,,Call to confirm eligibility,Monday - Friday: 8 am - 11 pm,Saturday-Sunday: 9 am - 8 pm  ,1,,,,,,,,,1,,1,,1,New York State Central Register of Child Abuse and Maltreatment,,,Bronx,https://www.safehorizon.org/,1009040,247682
Safe Horizon,Bronx Child Advocacy Center,16 Ericsson Place,"New York, NY 10013",646-529-1343,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 12 pm - 4 pm</li></ul>,,,,1,,,,,,,,1,,Hindu,,,,,Manhattan,https://www.safehorizon.org/,982285,201682
Safe Horizon,Crime Victim Assistance Program Manhattan 7th Precinct ,19 1/2 Pitt Street,"New York, NY 10002",212-477-2385,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,German,,,,,Manhattan,https://www.safehorizon.org/,988709,200325
Safe Horizon,Crime Victim Assistance Program Manhattan 9th Precinct ,321 E 5th Street ,"New York, NY 10003",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,1,1,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,987624,203977
Safe Horizon,Crime Victim Assistance Program Manhattan 10th Precinct ,230 W 20th Street,"New York, NY 10011",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,,,,,,1,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,984623,209859
Safe Horizon,Crime Victim Assistance Program Manhattan 13th Precinct ,230 E 21st Street,"New York, NY 10010",212-477-4380,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,988874,207673
Safe Horizon,Crime Victim Assistance Program Manhattan 17th Precinct ,167 E 51st Street,"New York, NY 10022",212-826-3250,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,992411,215025
Safe Horizon,Crime Victim Assistance Program Manhattan 18th Precinct ,306 W 54th Street,"New York, NY 10019",212-767-2190,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,988353,217920
Safe Horizon,Crime Victim Assistance Program Manhattan 20th Precinct ,120 W 82nd Street ,"New York, NY 10024",212-580-6640,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li><li><i>Domestic violence advocacy services:</i><br> Monday - Friday: 12 pm - 8 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,991168,224929
Safe Horizon,Crime Victim Assistance Program Manhattan 24th Precinct ,151 W 100th Street ,"New York, NY 10025",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 4 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,993336,229488
Safe Horizon,Crime Victim Assistance Program Manhattan 25th Precinct ,120 E 119th Street ,"New York, NY 10035",212-860-0214,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,1000555,230994
Safe Horizon,Crime Victim Assistance Program Manhattan 28th Precinct ,2271-89 Frederick Douglass Boulevard ,"New York, NY 10027",212-666-2784,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,997360,233928
Safe Horizon,Crime Victim Assistance Program Manhattan 30th Precinct ,451 W 151st Street,"New York, NY 10031",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,Call to inquire about hours of operation,,1,,,,1,,,,,,,,Mandigo,,,,,Manhattan,https://www.safehorizon.org/,999794,241252
Safe Horizon,Crime Victim Assistance Program Manhattan 32nd Precinct ,34 W 134th Street,"New York, NY 10037",212-690-5858,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,1000846,235291
Safe Horizon,Crime Victim Assistance Program Manhattan 33th Precinct ,2207 Amsterdam Avenue  ,"New York, NY 10032",212-918-4772,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,1001936,245282
Safe Horizon,Crime Victim Assistance Program Manhattan 34th Precinct ,4295 Broadway,"New York, NY 10033",212-927-0603,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Manhattan,https://www.safehorizon.org/,1002102,249514
Safe Horizon,Crime Victim Assistance Program Bronx 40th Precinct ,257 Alexander Avenue ,"Bronx, NY 10454",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1004926,234532
Safe Horizon,Crime Victim Assistance Program Bronx 41st Precinct ,1035 Longwood Avenue ,"Bronx, NY 10459",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1013232,236725
Safe Horizon,Crime Victim Assistance Program Bronx 42nd Precinct ,830 Washington Avenue ,"Bronx, NY 10451",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,Wolof,,,,,Bronx,https://www.safehorizon.org/,1008808,238966
Safe Horizon,Crime Victim Assistance Program Bronx 43rd Precinct ,900 Fteley Avenue ,"Bronx, NY 10473",718-617-7892,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,,,1,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1020305,239200
Safe Horizon,Crime Victim Assistance Program Bronx 44th Precinct ,2 E 169th Street ,"Bronx, NY 10452",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li><li><i>Domestic violence advocacy services:</i><br> Monday - Friday: 12 pm - 8 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1006456,244344
Safe Horizon,Crime Victim Assistance Program Bronx 45th Precinct ,2877 Barkley Avenue  ,"Bronx, NY 10465",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,Monday - Friday: 8 am - 8 pm,,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1032047,242037
Safe Horizon,Crime Victim Assistance Program Bronx 46th Precinct ,2120 Ryer Avenue ,"Bronx, NY 10457",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1011882,250409
Safe Horizon,Crime Victim Assistance Program Bronx 47th Precinct ,4111 Laconia Avenue  ,"Bronx, NY 10466",718-920-1209,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li><li><i>Domestic violence advocacy services:</i><br> Monday - Friday: 12 pm - 8 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1026387,262634
Safe Horizon,Crime Victim Assistance Program Bronx 48th Precinct ,450 Cross Bronx Expressway,"Bronx, NY 10457",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li><li><i>Domestic violence advocacy services:</i><br> Monday - Friday: 12 pm - 8 pm</li></ul>,,1,,,,1,,,,,,,,Mandigo,,,,,Bronx,https://www.safehorizon.org/,1011786,246747
Safe Horizon,Crime Victim Assistance Program Bronx 49th Precinct ,2121 Eastchester Road,"Bronx, NY 10461",718-918-2080,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,Wolof,,,,,Bronx,https://www.safehorizon.org/,1027042,251065
Safe Horizon,Crime Victim Assistance Program Bronx 50th Precinct ,3450 Kingsbridge Avenue ,"Bronx, NY 10463",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1011264,261128
Safe Horizon,Crime Victim Assistance Program Bronx 52nd Precinct ,3016 Webster Avenue  ,"Bronx, NY 10467",718-220-7170,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Bronx,https://www.safehorizon.org/,1017318,255749
Safe Horizon,Crime Victim Assistance Program Brooklyn 61st Precinct ,2575 Coney Island Avenue ,"Brooklyn, NY 11223",718-339-2612,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,1,1,,1,,,,,,,,,,Brooklyn,https://www.safehorizon.org/,995238,155733
Safe Horizon,Crime Victim Assistance Program Brooklyn 62nd Precinct ,1925 Bath Avenue ,"Brooklyn, NY 11214",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,,,,,,Brooklyn,https://www.safehorizon.org/,983394,158816
Safe Horizon,Crime Victim Assistance Program Brooklyn 63rd Precinct ,1844 Brooklyn Avenue  ,"Brooklyn, NY 11210",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li><li><i>Domestic violence advocacy services:</i><br> Monday - Friday: 12 pm - 8 pm</li></ul>,,1,,,,1,1,,,,,,,,,,,,Brooklyn,https://www.safehorizon.org/,1000448,168068
Safe Horizon,Crime Victim Assistance Program Brooklyn 66th Precinct ,5822 16th Avenue  ,"Brooklyn, NY 11204",800-621-4763,,1,1,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,<ul><li><i>Crime advocacy services:</i><br>Monday - Friday: 12 pm - 8 pm</li><li><i>Domestic violence advocacy services:</i><br>Monday - Friday: 8 am - 4 pm</li></ul>,,1,,,,,,,,,,,,Cantonese,,,,,Brooklyn,https://www.safehorizon.org/,986633,167258
